0x00370EC5	煌雷霹雳弩 
0x3A2AF464	缠蛙的大颚
0x3A52D044	特会·铁壁珠【3】
0x3A6E4854	漆黑of喵喵α
0x3A7A34E3	缠蛙棍Ⅰ 
0x3A7CCFA6	要排除的大师位任务的等级
0x3A9A70BD	骨号角Ⅳ 
0x3A9DFB5D	冻峰龙狩猎证 S
0x3AB00899	流水·强壁珠【3】
0x3ABF8957	近战
0x3AD6087E	雪白双刃弯刀Ⅰ 
0x3ADC8A07	护辟兽猫头盔
0x3ADE0A3D	机械双刃Ⅰ 
0x3AFC6A8E	科黛之暗弯刀 
0x3B0A55AE	狱焰轻弩Ⅱ 
0x3B2363F5	龙人族之耳 
0x3B49D29E	回复药G
0x3B50089F	黑蚀龙的上等暗翼
0x3B65F28B	护龙之守护
0x3B67F601	排除未解锁任务
0x3B7C0341	任务结束时间
0x3B7F3978	希望轻弩Ⅳ 
0x3B83AF50	煌雷弩Ⅱ 
0x3B854F7B	皓白暴雪棍 
0x3B8EF6C8	铠龙猫火箭炮α
0x3B90A5D5	忍耐种子
0x3BFB3EF2	剧毒怪锤Ⅱ 
0x3BFBC5AB	虚无大剑Ⅱ 
0x3C228BD8	赫猿兽猫铠甲α
0x3CEBCF12	希望大锤Ⅳ 
0x3D0C5613	沼喷啄锤Ⅱ 
0x3D60DCCA	增弹·铁壁珠【3】
0x3D66769E	达人珠Ⅲ【3】
0x3D6AF934	所有任务都已满员
0x3D6EE452	护辟兽α 
0x3D8C57A7	刚柔甲壳铳枪 
0x3DB4B4FD	太刀
0x3DB9C3A1	部分更改或应用全体更改
0x3DDD1D40	血盗虫
0x3DE03D3E	普通素材
0x3DEF47F1	护锁刃戟·陶尔 
0x3DFAF070	波涛刀Ⅲ 
0x3DFD672E	虚无之剑Ⅱ 
0x3E18A890	设营工具
0x3E1ACA49	护锁刃龙猫剑
0x3E25F844	技能 2##AmuletSkill2%d
0x3E5A42ED	尖铠玉
0x3E8DB16D	吹笛名人
0x3E9FAB78	如果随从或敌人被击杀，是否启动慢动作。
0x3EC4B8C3	沼喷穿刺针Ⅰ 
0x3EC9E2B2	狱焰长枪Ⅱ 
0x3ED0D9EA	强毒·拔刀珠【3】
0x3ED400D5	怪物 4
0x3F0BA9A4	沙海长枪Ⅱ 
0x3F0E52CC	灭龙弹
0x3F2EB825	希望大锤Ⅱ 
0x3F4F941E	缠蛙兵装Ⅰ 
0x3FAAD61E	希望之弓Ⅳ 
0x3FC5DC89	精确会让低质量的块状瑕疵变得非常明显，何意啊妈咪
0x3FC8DA03	缠蛙锤Ⅰ 
0x4014E9C5	爆炎袋
0x40158A12	护鹭鹰龙α 
0x401D4A92	钢铁迅斧Ⅱ 
0x401F60AD	辟裂弩Ⅲ 
0x4020A5BA	狱焰蛸的棘
0x403448B9	皓洁白炎斩斧 
0x4037A2FC	重弩##BuffGlow
0x4045B3C5	耐爆护石Ⅰ
0x40473B68	波衣龙猫面具
0x40764109	力量of堕落Ⅰ 
0x40A83629	怪物的粪
0x40BF1AFC	大口瓢虫
0x40DB227E	野生植物籽油
0x40E5E36F	铺鳞之技法
0x410719F3	缠蛙猫锤
0x4114AF48	狂澜波涛弓 
0x4117C0B2	启用MOD
0x41185D67	断崖金属双剑 
0x4125710E	启用重弩自动连射（实验功能）
0x415D9F58	特会·匠珠【3】
0x4176BCEB	狂暴护雷刃 
0x41808995	护凶爪龙的鳞
0x4190C471	对所有玩家生效##StdGlow
0x41A3EB54	猎弓Ⅳ 
0x41AACF41	疲瓶珠【2】
0x41D31B1B	刺花短剑Ⅳ 
0x41DC88A7	缠蛙的颚
0x41FEE4A5	风甲弓Ⅲ 
0x420EBD77	沙海长枪Ⅰ 
0x42139E2C	白炎碎Ⅱ 
0x4229047D	排除教学任务
0x4246FD32	赫炎甲轻弩Ⅱ 
0x4247CDB9	剔除敏感度
0x42501E27	餐点无常术【小】
0x4252030F	沼喷龙猫速射器
0x4255F789	射法珠Ⅲ【3】
0x425BFAB2	白鸠石
0x427EC8B4	刺花长枪Ⅱ 
0x42E8B3A9	赫炎笛Ⅱ 
0x4318702B	兽玉
0x433CA090	战斗α 
0x4342B765	单手剑
0x43547D10	你不会获得任何素材奖励
0x4355CBFB	古老龙骨
0x4378117C	狂野香草
0x437DE4AE	剧毒毁灭Ⅱ 
0x43818487	强走护石Ⅰ
0x439299D0	拔打珠Ⅲ【3】
0x4398762E	火场怪力
0x43AAC0FD	体术护石Ⅲ
0x43BAF4FF	任务等级过高
0x43CBF8B8	击晕术
0x43DBEC74	大块龙血石
0x440D611B	波衣龙之守护
0x440E1A8D	大大的宝物
0x441D4A6D	桃毛兽王 
0x441F2DEA	刺花蜘蛛猫假发
0x442CE3F3	耐裂珠【1】
0x445803D4	重置已发布任务的列表
0x445EE04E	白兔兽
0x448DD6BB	低 (" .. VolumetricFogTextureSizes[0] .. ")
0x44952C7E	桃毛突击Ⅱ 
0x449CEE2B	护辟荒枪Ⅰ 
0x44A6CFF9	希望双匕Ⅰ 
0x44E1E8D8	破龙·强壁珠【3】
0x44E8A0AE	辟兽猫头盔
0x44F84F63	麻痹菇
0x45037124	秘药
0x450661CE	初弹·雷光珠【3】
0x45107678	期冀轻弩 
0x4510D6AC	沙海龙的上等鳞
0x453287F6	火龙大剑 
0x453A2E3A	流水珠Ⅲ【3】
0x453DF854	绿金龟
0x454CD4A2	集中·火炎珠【3】
0x4551F5B6	龙属性攻击强化
0x45573C9D	深红战车 
0x4571BF16	说真的，我不喜欢这个选项，因为它本质上给了其他玩家一点控制权，\n
0x458AA383	祖母绿拟饵
0x45997A17	速变·铁壁珠【3】
0x45C35464	睡眠属性强化
0x45CE4A8F	地学珠【1】
0x45D89C22	护锁刃双剑Ⅱ 
0x45E53795	耐缚护石Ⅱ
0x46252EE8	投射器染色弹
0x464FAFB3	烈焰展翼Ⅰ 
0x4674BEFC	护火龙炮Ⅰ 
0x4682F102	龙穿弓Ⅱ 
0x46A63F34	视野of失落Ⅰ 
0x46AB13F0	骨刃Ⅳ 
0x46B950C1	餐点技能
0x46BFB2AF	沼喷龙的爪
0x46C5023C	白凤护火龙炮 
0x46C69CAC	LT键/L2键
0x46F76549	火灶炎尾剑 
0x470598CA	护雷白刃Ⅰ 
0x470971C9	除臭球
0x47200DD1	护辟豪剑Ⅱ 
0x472A0055	冰结·速变珠【3】
0x472F2562	毒怪鸟猫服装α
0x473463FA	会心击【特殊】
0x473D5D12	双战斧Ⅰ 
0x474D01FB	雷光·击晕珠【3】
0x476E5D2A	破盾者 
0x47C973AB	加载自制任务后，按“重新加载任务数据”按钮\n
0x47D02B77	煌雷龙的鳞
0x47DAE3ED	盾斧##BuffGlow
0x47F91B6D	怪力种子
0x48088FA8	煌雷龙猫【薙刀】α
0x48099771	利刃·破龙珠【3】
0x482BBC17	沙海笛Ⅳ 
0x48493A21	要排除的百龙夜行任务等级
0x4856BC6B	护雷颚龙的上等鼻骨
0x4868C3C0	特射珠Ⅱ【2】
0x4871626F	皮革制品之顺滑
0x4880A5C6	耐冲护石Ⅱ
0x488F420B	火龙的尾巴
0x489978E6	骨制发射器Ⅲ 
0x48A09857	耐臭珠【1】
0x48AD034E	锁怪异强化
0x48E1B6B3	大师位
0x48F91075	护辟兽
0x490995F8	霸主之愤慨
0x4921E740	鼓舞白炎翅笛 
0x492D0ADA	辉龙石
0x4954229D	白天
0x49722CFE	护龙的上等毛皮
0x497D7878	护火龙棍【白妙】 
0x49855D47	护凶爪龙狩猎证
0x4996BA2C	炎尾龙的上等鳞
0x49A857A0	黄金硬角质
0x49B43903	沼喷盾斧Ⅰ 
0x49CFA775	钢之遗物票
0x4A1AEDAC	风铗龙的飞膜
0x4A24CB51	锁刃炮·帕拉梅德斯 
0x4A29D929	夺气珠【1】
0x4A3FFF72	希望猫小锤
0x4A5AD9B3	耐属护石Ⅰ
0x4A6A4CAC	护凶爪龙α 
0x4A9E4D86	沼喷龙猫脑
0x4ABF75ED	最低等级
0x4AC0E87D	重置为默认
0x4AF6580D	环境光亮度
0x4AF7D603	燕雀石
0x4B08034C	贯穿瓶
0x4B134E19	桃毛百战斩斧 
0x4B19DBE0	集中珠Ⅲ【3】
0x4B1D9A80	骨制斩斧Ⅰ 
0x4B377348	强毒·铁壁珠【3】
0x4B663BAB	餐点财运术
0x4B75A63C	机械锯斧Ⅰ 
0x4B83E379	这里的所有组合都通过了合法检测，但这并不意味着游戏实际上可以生成
0x4B92E1CA	希望虫棍Ⅰ 
0x4B9F8D7E	沼喷龙的大喙
0x4BA0616D	技能弱点特效[属性]是20 百龙技能的则为25
0x4BA96862	岩壳锤Ⅰ 
0x4BBB93CB	雷光·集中珠【3】
0x4BC213A6	护雷颚龙α 
0x4BE729D9	排除盟友支线任务
0x4C0C38EF	扩散弹
0x4C17497D	毒怪鸟的尾巴
0x4C4A4F17	抖动噪声类型
0x4C51E7FC	冰属性攻击强化
0x4C847118	鼓笛·达人珠【3】
0x4C948036	希望长枪Ⅱ 
0x4C95A627	集中·雷光珠【3】
0x4C9D3890	风铗龙 
0x4C9E2D30	霸主之骄傲
0x4CB4A4DC	散弹
0x4CB90F64	删除除最新任务和锁定任务外的所有任务
0x4CDD9035	<COL AUTOQUESTGREEN>任务 ID</COL>
0x4CF17AD8	期冀大剑 
0x4CF35A14	血之尖叫 
0x4CFC87DA	护锁刃轻弩·凯 
0x4CFCE0E3	城塞高地
0x4CFE0035	希望 
0x4D0D0BC7	怪物固定大小设置
0x4D2D5D68	保存
0x4D3F2A45	暗器蛸α 
0x4D4298DC	达人珠Ⅱ【2】
0x4D5874CD	希望大剑Ⅴ 
0x4D58D75E	异界锁镰Ⅰ 
0x4D8F4BBC	暴怒护石Ⅱ
0x4D927FBD	霜降草
0x4DAE8F35	护凶爪龙猫铠甲α
0x4DC43303	村任务
0x4E1F3B86	毒怪鸟猫覆盔α
0x4E2615D5	冰冷菇
0x4E286088	雌火盾斧 
0x4E46EC30	补给专用硬化粉尘
0x4E66A2C6	阿托斯的回旋剑α
0x4E68DF58	有效插槽类型:
0x4E97A730	炎尾炮Ⅱ 
0x4EA94989	沼喷龙的上等皮
0x4EB97525	环境护石Ⅲ
0x4ED1E2AF	强击瓶
0x4ED20D66	体术护石Ⅱ
0x4EDD033F	任务类型
0x4EEDE30A	攻击
0x4F17AF0C	火药金鱼鳞片
0x4F4C2C06	煌雷弓Ⅱ 
0x4F516773	皮革制品之柔韧
0x4F526D09	狱焰蛸猫触手
0x4F5BF06F	护火龙α 
0x4F5FE9C9	阿孜兹猫头饰α
0x4F65CD00	毒袋
0x4F6B414C	青年铁剑Ⅱ 
0x4F914B24	能量步枪 
0x4FB3D25F	白炎碎Ⅰ 
0x4FC6B17C	冰结袋
0x4FDB56AF	锁刃笛·加拉哈德 
0x4FF5168C	特会珠Ⅱ【2】
0x5057E862	攻击珠Ⅲ【3】
0x505BE3B3	盔速龙
0x50A21E20	沙海龙的头壳
0x50B109B3	护锁刃龙β 
0x50B4A5C7	白兔兽 - 200 - 冰封群岛 - 700003
0x50CF6A2D	铬钢钻头Ⅲ 
0x50E9C5E5	上位
0x50FA8A59	骨制弯刀Ⅳ 
0x5106B990	受损的武器碎片
0x510CC8D8	刺花蜘蛛狩猎证 S
0x511DC401	护锁刃大剑·兰马洛克 
0x5121C66E	刺花盾斧Ⅲ 
0x5130D134	麻痹珠Ⅲ【3】
0x5132F76E	冻峰龙猫王冠α
0x513B413E	鸟币弓Ⅰ 
0x516B74A5	辟荒枪Ⅰ 
0x516DE9A8	冰结珠Ⅱ【2】
0x5178E0EF	刺花蜘蛛猫针α
0x517F1D7E	虚无之锤Ⅰ 
0x5185D30B	锯带龙的上等鳍
0x5196DDB9	炎尾双刃Ⅰ 
0x519A4405	赫猿兽的上等鳞
0x51B08F94	波衣龙的纤毛
0x51B7ECC3	波涛双棍Ⅲ 
0x51FD5F76	希望号角Ⅴ 
0x523866A2	补给专用鬼人粉尘
0x523E14E7	公会骑士 
0x52608A7F	雌火龙猫细剑α
0x526399FD	强力狂野弓Ⅰ 
0x527B8EF2	杜宾α 
0x5283FA3A	锁刃双剑Ⅰ 
0x528C2824	早气护石Ⅱ
0x528FF3E7	水没林
0x529709A4	重置键位
0x529E7EE8	护锁刃刀·兰斯洛特 
0x52AB4061	技能 3: 
0x52BD291B	昂扬·雷光珠【3】
0x52BF35CC	S100 = Lv1插槽, S210 = Lv2插槽 + Lv1插槽, 以此类推
0x52E65F82	速射珠【3】
0x52E7F8C9	神秘模式
0x52F347F8	老旧宝珠·剑
0x530D48EE	煌雷刀Ⅲ 
0x53600BCE	联装大拟饵
0x537AA64C	铠龙猫装甲α
0x537CF972	风铗龙的鳞
0x53897F02	火龙的翼
0x53AF8357	按下任意键
0x53D5A5C5	逆鳞装饰壶
0x53DB7A63	任务等级过低
0x53DD1783	公会骑士军刀Ⅱ 
0x53DFF56A	自定义怪物击杀+慢动作
0x53E09A94	狱焰蛸的皮
0x543FC8A6	加护珠【1】
0x54565590	炎斧俄里翁Ⅰ 
0x545AC43F	缠蛙棍Ⅳ 
0x5473D057	辟乱刃Ⅲ 
0x547DED13	刚刃打磨
0x548B960C	缠蛙的上等皮
0x5498C4EA	老旧武器碎片·盘
0x54A1FC05	刺花短剑Ⅲ 
0x54A79CEE	赫炎铳枪Ⅰ 
0x54AF7E74	猎枪Ⅰ 
0x54C2461C	缠蛙兵装Ⅳ 
0x54E6C9CA	排除连续狩猎的任务
0x55064672	霸主雌火龙
0x550A4ACF	护凶爪龙的尾巴
0x551A229E	发动
0x5520A057	速变·击晕珠【3】
0x5545B042	仅在战斗中生效
0x556B2C71	冰结·强壁珠【3】
0x556EC3FA	漆黑的油骨
0x5578F054	酥加猫青蛙α
0x5579456E	怪鸟反击 
0x5586C9EC	流水·铁壁珠【3】
0x55872A24	狂澜波涛斩斧 
0x55ABE67F	餐点火场怪力
0x55B3C6D5	大锤##BuffGlow
0x55E1DB41	移除玩家的效果##DBArchdemon
0x55E979A5	狱焰蛸的角
0x55FBDB0E	增弹·匠珠【3】
0x560F2E30	耐麻护石Ⅱ
0x561D52E4	机械刃棍Ⅱ 
0x56203967	火龙的坚壳
0x5628321E	蓄幅珠Ⅲ【3】
0x5638ABEF	辟豪剑Ⅱ 
0x564F143D	历久大隆炉球
0x56546CEE	波涛铳枪Ⅰ 
0x565BD428	铠龙的坚胸壳
0x56838691	硬化粉尘
0x568BC33F	护凶爪龙猫头盔
0x568DF43E	雌雄双焰刀Ⅰ 
0x56964F9A	大王扶桑花
0x569D78DB	铠龙怒吼Ⅰ 
0x56C3BD96	整备护石Ⅲ
0x56C6D606	决胜姿势2
0x56DFE42B	[去除BUFF发光]
0x56E0CA21	风戟斩斧Ⅲ 
0x5701629E	护火龙的甲壳
0x57088894	讨伐
0x570F0DDE	白炎之刃Ⅰ 
0x571CF17F	无效的任务ID
0x5732E5BB	璀璨水晶
0x573AFA05	公主细剑Ⅱ 
0x577F2FC6	查询： >=150
0x57A4B01E	射法珠【1】
0x57C71DCA	投射器闪光弹
0x57DCF826	当前强化:
0x57F249AD	波衣龙的上等纤毛
0x586A8DC8	沼喷啄锤Ⅲ 
0x58716282	护雷颚龙的宝玉
0x587424C9	护辟兽的刚毛
0x587882BA	布鲁图斯之暗斧 
0x587EC97A	骨号角Ⅱ 
0x58977022	锁刃刺击
0x589D0243	怪力药丸
0x58CA3AF6	希望猫服装α
0x58D257C2	是否对所有怪物激活，\n不仅仅只有目标怪物。
0x58E3FD56	怨虎龙
0x58E42E5D	护辟兽的锐爪
0x58F54105	技能 2 类型##Skill2Points%d
0x58F6E106	铁壁珠Ⅱ【2】
0x591F3116	雪狮子王的尾巴
0x5920BDA8	速变珠【1】
0x592ADE51	视野of绝望 
0x5930BBAA	龙击弹
0x5973A72F	影蜘蛛巨剑Ⅰ 
0x597DDFCF	睡眠珠Ⅲ【3】
0x598921ED	英勇变形大剑 
0x59906CD0	破龙·守势珠【3】
0x59AE560D	煌雷霹雳弓 
0x59D40DE1	默认为 -10.0（位于摄像机后方）
0x59D97D11	亮翅虾蜂
0x59E0ABFA	慢动作时使用的速度百分比。
0x59E7C709	属会珠【1】
0x59EAB185	冰耐性
0x59EF1BFA	期冀斩斧 
0x59FE90C3	捕获时激活慢动作
0x5A01DA23	狂澜波涛刀 
0x5A0D53A9	铁制突击弩Ⅰ 
0x5A27184A	抗狂护石Ⅱ
0x5A6ABD79	甲虫之直觉
0x5AA2EE1F	护锁刃斩斧Ⅱ 
0x5B10FEA2	夺取耐力
0x5B268904	钢铁of真实Ⅰ 
0x5B362A41	虚无斩斧Ⅱ 
0x5B3AD491	补给专用异臭弹
0x5B8E64C5	排除单目标任务
0x5BA3114B	自动加入集会任务
0x5BA7AC5B	排除多目标任务
0x5BB926D8	耐冲珠【1】
0x5BD9EC78	公会王牌α 
0x5BDADE92	昏厥耐性
0x5BDEB5B0	合金猫头盔α
0x5BE7D591	编辑
0x5BF9D290	回避护石Ⅰ
0x5C2C96F6	乱入怪物
0x5C4201AA	暗器蛸 
0x5C6EE949	护雷颚龙的尾巴
0x5C7B8F16	异界三钴杵Ⅰ 
0x5C814E7E	近战瓶
0x5C815A00	锁刃戟Ⅰ 
0x5C975329	远古抓取者 
0x5CB0946A	狙击of戏法Ⅰ 
0x5CB50280	护辟兽猫拳击套
0x5CBFAE12	补给专用音爆弹
0x5CC71EC3	皮制猫头饰
0x5CE5AAB8	锑石
0x5D04AEAC	水属性攻击强化
0x5D04EE83	餐点指挥术
0x5D113136	煌雷剑Ⅰ 
0x5D13DD10	破坏王
0x5D1D37AC	隐藏左上角显示的任务信息，并在加入集会任务时隐藏任务信息
0x5D393240	花妖猩α 
0x5D4D8860	会心击【属性】
0x5D73D083	煌雷霹雳枪 
0x5D777086	黄金鳞片
0x5D875BBF	移除所有玩家的效果##DBArchdemon
0x5D9F8B58	激活设置
0x5DB03EF4	禁用击杀镜头
0x5DCA85DE	风月牙枪Ⅱ 
0x5DD5549F	缠蛙 
0x5E02B998	希望虫棍Ⅳ 
0x5E134B90	投射器音爆弹
0x5E203161	熊之母神辟轰笛 
0x5E6DDBC2	利刃·击晕珠【3】
0x5E7A8902	风铗龙狩猎证 S
0x5E83ED1B	缠蛙兵装Ⅱ 
0x5E84BFD1	期冀铳枪 
0x5EBC6CD7	雌火龙的上等棘
0x5ECD6D99	发布任务时禁用UI音效
0x5ED5BE92	希望猫小锤α
0x5EE0C6EC	炎尾龙猫枪
0x5EF3B078	龙翼白炎剑 
0x5EFE4635	护锁刃笛Ⅰ 
0x5F47A2D4	战车魔术师Ⅰ 
0x5F4CBE75	排除村任务
0x5F54C41E	上铠玉
0x5F6047C6	忍耐药丸
0x5F70C5D9	锁刃龙的宝玉
0x5F90D54F	白金鳞片
0x5F92BD6D	无伤珠【2】
0x5F9EA88A	结冰金属
0x5FA1130D	凤仙火龙炮 
0x5FA3A397	早气护石Ⅲ
0x5FA99A9A	艾露猫武器
0x5FA9E6B0	鸟龙玉
0x5FC03341	炎尾炮Ⅲ 
0x5FDC6E5D	音速号角Ⅳ 
0x5FDDB94D	炎王龙
0x5FEB0D76	护锁刃双剑·尤文 
0x5FF7F067	牢狱锤Ⅱ 
0x60012CE8	大西纳托虫
0x6017E8C8	烤焦的壁虎
0x6046C91C	昏睡袋
0x604E9781	火炎·初弹珠【3】
0x606F1C55	盔速龙黄铜
0x6091E446	刺花刀Ⅰ 
0x60955D36	刺花斩斧Ⅳ 
0x60980EE0	冰结弹
0x60A10535	发布任务时隐藏GUI
0x60A8FE47	骨刃Ⅱ 
0x60AEF8FC	插槽: 
0x60FC31D3	补给专用秘药
0x611F5E31	怪物
0x61253363	影蜘蛛球锤Ⅱ 
0x614754AA	护锁刃龙猫剑α
0x617CAF08	你在游戏内设置的射击键和瞄准键键位将应用于mod的对应键位
0x619A1B08	巨蜂的翅膀
0x619A4D0E	雷光·射法珠【3】
0x61A32E62	血盗虫的坚壳
0x61A3E2E9	护锁刃刀Ⅱ 
0x61D2D2A8	阿孜兹的鞣制皮革
0x61DEAD85	属会珠Ⅲ【3】
0x61F246C6	猎弓Ⅰ 
0x61F74412	植学护石Ⅳ
0x61F8C845	蓄击·匠珠【3】
0x61FDEA3D	守势珠Ⅱ【2】
0x620023C5	花妖猩票
0x6201D2D8	飞刀
0x62291AFE	毒瓶追加
0x622B0026	星级
0x628C2A4E	波涛炮Ⅲ 
0x62923F3B	发光宝珠·剑
0x62997293	鬼硝化伞菇
0x62B230D0	龙都酸浆
0x62BD0B68	餐点热灼术
0x62C184DD	补给专用汉方粉尘
0x62C5DAFF	请更新「MOD菜单API」。
0x62DD732B	沙海龙狩猎证 S
0x62E4E4BF	赫猿兽猫金碎棒α
0x62ED2908	沙海龙猫钻头α
0x62FB8D5A	快吃珠【1】
0x6316CB67	锁刃轻弩·凯 
0x631E869C	炮术珠Ⅱ【2】
0x632B586C	三叉锋刃 
0x634FC40A	昂扬·流水珠【3】
0x636CC066	护盾of诚信Ⅰ 
0x63CB9270	沼喷龙β 
0x63DE4BEA	老旧宝珠·铠
0x63F9D836	移除所有玩家的效果##CBShield
0x64234F7B	速变·火炎珠【3】
0x643D2E06	破裂龙鱼鳞片
0x6457770C	集中·击晕珠【3】
0x6472F678	覆盖近处淡化距离
0x64ADABA5	希望猫服装
0x64BED646	骨制斩斧Ⅳ 
0x64C6A556	名字修改器
0x64E7D18E	护凶爪龙的爪
0x64F13299	启用后，无论何时何人在你集会内发布集会任务，mod都会尝试加入。\n
0x65246043	火龙β 
0x65259EDA	AKA衰减梯度
0x654C661C	狱焰蛸
0x656575BC	强化持续
0x6588823B	护辟裂弩Ⅱ 
0x659CA629	应急药G
0x659F0811	雌火龙猫铠甲α
0x65B1DE7C	强毒·攻击珠【3】
0x65BFFDFD	护雷颚龙β 
0x65C491DA	希望长枪Ⅴ 
0x65D45E12	狱焰锤Ⅱ 
0x65D544F0	流水珠Ⅱ【2】
0x65EA4ADD	补给专用落穴陷阱
0x65F0A738	缠蛙猫兜帽
0x66157FF2	铠龙的坚壳
0x66357548	猎人生活
0x663E1A88	死神猫兜帽α
0x66A67A7A	赫猿兽
0x66A9F883	爆破属性强化
0x66AAD734	感谢DSC-173（Nexus上的DSC173）的代码，\n告诉您哪些技能已激活！
0x66CD962F	硬骨号角 
0x66D0C360	禁用击杀界面
0x66DE5F86	遗戒 
0x66ED40A4	谜之骨
0x66F04D02	希望之刀Ⅴ 
0x671867DB	雷属性攻击强化
0x6735822F	按下任意键
0x674265DE	修改游戏内的语言
0x67766F87	毒蛛刺花盾斧 
0x67910A5A	跃动沙海棍 
0x6798D177	桃毛兽王的刚毛
0x67C2444A	删除
0x6839D833	咬鱼
0x684CE05D	覆盖
0x686C3DEC	狂奔精华
0x68792777	耐火护石Ⅲ
0x687F607E	巨蜂的薄羽
0x68959187	炎尾炮Ⅳ 
0x68981BE8	你确定要这么做吗？
0x689E1808	启用阴影
0x68A03430	虚无斩斧Ⅰ 
0x68AE294E	耐眠护石Ⅲ
0x68B441D4	煌雷龙的上等鳞
0x68E38435	希望之刀Ⅰ 
0x68F7ED2A	毒怪鸟α 
0x690C31B6	怪鸟火斧Ⅱ 
0x691A8CE2	毒怪鸟猫安卡α
0x6922A9C5	弹丸护雷弩 
0x6930737D	混铅盾斧Ⅲ 
0x693256EA	拔打·铁壁珠【3】
0x69393AFD	破龙·匠珠【3】
0x69674E48	护凶爪龙的宝玉
0x6967EE07	硝化伞菇
0x6987B5B7	转福护石Ⅱ
0x69AB9869	老旧龙雕币
0x69C0B327	炎尾龙猫头盔
0x69C7FCEC	耐雷护石Ⅱ
0x69CCBDC2	毒耐性
0x69D237E7	体术护石Ⅳ
0x69D86EFC	排除怪异化任务
0x69FE61DE	锁刃大剑Ⅰ 
0x6A076D6D	骨制兵装Ⅰ 
0x6A0D8E01	弓##BuffGlow
0x6A101EF9	特殊射击强化
0x6A2043EA	沙海龙猫头盔
0x6A36D1AB	炎尾龙的大头冠
0x6A40D303	调查团α 
0x6A43963C	调查队耳饰α 
0x6A4D8E25	减气弹
0x6A5F1804	波衣龙的水玉
0x6A6580E3	冻峰龙
0x6A7756CC	赫猿兽猫头盔
0x6A7BBE16	烤熟的肉
0x6AA3A387	通常弹·通常箭强化
0x6AA84555	冰结·守势珠【3】
0x6AB1FF79	钢蛋
0x6ACF2FB5	永恒促销
0x6AD9141F	盾斧
0x6ADFF0E7	康加战鼓 
0x6AED2309	锁刃龙的上等鳞
0x6B28F18D	影蜘蛛α 
0x6B2F493B	不过您真想用的话就用吧。
0x6B426B84	集中·匠珠【3】
0x6B659CB1	冰结·射法珠【3】
0x6B70F0B7	怪鸟矛Ⅱ 
0x6B7867C0	投射器重打击弹
0x6B94E98B	三叉刺刀Ⅱ 
0x6B970104	护锁刃轻弩Ⅱ 
0x6B9840E9	赫猿兽狩猎证
0x6B989D12	移除玩家的效果##GSCharge
0x6BA44DDE	希望兵装Ⅱ 
0x6BA67C2B	弱点特效和弱点特效[属性]
0x6BC59997	烤焦的肉
0x6BD57EDA	炎尾大剑Ⅲ 
0x6BEA07C1	雷光虫蓄电素
0x6BEB9EE0	波涛弓Ⅱ 
0x6C0B97AB	餐点回避术【大】
0x6C14AFE9	微光结晶
0x6C1DC3DA	技能 2: 
0x6C1E57B8	沙海剑Ⅰ 
0x6C5E3A92	允许您保留上次任务中使用的随机种子。这会影响生成怪物的\n
0x6C710D5C	底力护石Ⅱ
0x6C8CE10A	波涛盾斧Ⅱ 
0x6C9B9E0D	机械加农炮Ⅱ 
0x6CC21C07	双战斧Ⅱ 
0x6CC489C2	闪电护雷锤 
0x6CCE5445	投射器灭龙弹
0x6CCEE24B	联机模式
0x6CD0A3DB	毒生肉
0x6CED5FBF	黑蚀龙的尾巴
0x6CF06A5F	护凶爪龙的逆鳞
0x6D079FE4	炎尾锉Ⅱ 
0x6D48B0EF	菜单选择超时
0x6D5F3BED	希望虫棍Ⅴ 
0x6D61F6B1	茶金龟
0x6D6AD68C	火炎·昂扬珠【3】
0x6D722700	滚轮向下
0x6D8612F4	冻峰金属锤Ⅰ 
0x6D8751FA	版本: <COL RED>
0x6D8BB55F	锁刃刀·兰斯洛特 
0x6D93E783	移除所有玩家的效果##DBSharpness
0x6D9810C6	有效护石类型:
0x6D9B595A	餐点体术【大】
0x6D9B9345	回复速度
0x6DC9EFD3	伞鸟
0x6DD4CA9A	石块
0x6DD80BC1	土砂龙
0x6DF77F10	风铗龙
0x6DFF74AE	金币倍率
0x6E220D0C	大刺身鱼鳞片
0x6E38FF95	其他
0x6E4E612B	橡胶质的上等皮
0x6E6AC2FF	盔速龙的坚头壳
0x6EC42641	咬鱼的皮
0x6EE7AE1F	战术专家
0x6EEB9C95	补给专用携带食料
0x6F259558	小胃口护石Ⅰ
0x6F2A02EE	西尔德α 
0x6F33B2A4	铁壁珠Ⅲ【3】
0x6F459E27	慢动作的持续时间。（以秒为单位）
0x6F5DDC82	爆鳞龙
0x6F7F83CF	希望双匕Ⅲ 
0x6F93A998	护辟兽的毛
0x6F9FDACA	波衣龙的逆鳞
0x6FE5C6EE	三叉刺刀Ⅰ 
0x70129FA5	毒鸟铳枪Ⅰ 
0x701A65E4	德别尔辟荒枪 
0x704EB9F1	桃毛兽王猫派对服α
0x70648EBF	希望之斧Ⅴ 
0x706A2F07	启用自发光效果
0x706F8B01	机械猫齿轮α
0x707088AD	流水·守势珠【3】
0x709D0662	大骨锤Ⅳ 
0x70A2424E	护雷白炮Ⅰ 
0x70A4D7A0	三叉刺刀Ⅲ 
0x70BAADD0	投射器麻痹弹
0x710C0853	希望之剑Ⅰ 
0x711867F3	煌雷盾斧Ⅱ 
0x711960FA	护辟兽的锐牙
0x714C2853	雷光·利刃珠【3】
